18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#21918	add ơi rớ có mã giảm giá 700k rồi được giảm giá thêm từ 3-20% nữa hả hay sao....hướng dẫn e mua hàng online để dc km vs ạ
18||#21937	mùng 4 FPT shop ở Đức Trọng có mở cửa ko ạ
18||#21940	Cho mình hỏi, mình muốn mua 1 chiếc, thấy có chương trình đổi điện thoại cũ lấy mobiistar, cho mình hỏi khi mình đổi như vậy thì mình có được mua trả góp 0% không
18||#21943	E mun đi mua mobiistar prime x1 ở cửa hàng thì có ai bán hk zạ
18||#21947	hum nay fpt Đức trọng có mở cửa ko vậy ...
18||#21952	30 Tết cửa hàng có mở không ad
18||#21958	Mùng 4 tết mình tính ra mua máy nhưng không biết còn những khuyến mãi ở trên không QTV
18||#21965	QTV ơi cho mình hỏi bên fbt bán tới khi nào nghỉ tết vậy. tại mình bận quá kg có thời gian để tới shop
18||#21972	Cho em hỏi là đổi smartphone nhan lixi là mình chỉ đem mã ra là nhận được lixi không thu máy thu máy cũ đúng không shop
18||#21974	Nếu đặt được lì xì và giao được thì mình thanh toán trước luôn ạ. Giao trong ngày luôn mình mua ngay. Không ra fpt shop được!
18||#21981	Cho hoi giam 3 phân trăm co ap dung gop ls 0 phần trăm ko
18||#21983	Cho mình hỏi đặt Máy thần tài gõ cửa 25/1 giảm 3%vậy 26/1 ra lấy máy có giảm 3% không ạ
18||#21989	qua Tết mua vẫn đc giảm 700.000 đúng k
18||#21990	Sao ngày nhận tới 29/1 vậy hôm đó nghỉ tết mà mình xem trên ngày nhận đặt giảm 3% đó qtv
18||#21991	Cho hoi khi mua sp nay tra gop 0 phân trăm ko tinh thêm fi thu hô hay bao hiểm ma sp khác thi co cho hoi ntn ak tuy sp hay sao
18||#21995	Khi có code 700 r thì các chương trình khuyến mãi khác như : "Trả góp 0% Hoặc Tặng Lì xì phụ kiện 200.000đ Cơ hội trúng 1 trong 188 vé máy bay khứ hồi Vietnam Airlines, 2880 vé xe Tết Tặng 2 chai Pepsi 1.5L" có áp dụng không ạ, với lại mình mới mua về hồi chiều mà máy không tháo sim được mai phải mang bảo hành r -_-
18||#21997	sảm phẩm có tặng miếng dán màn hình rồi ốp lưng k mình xem video có tặng mà có video thì không tặng vậy là có tặng hay không mong tư vấn
18||#21999	thẻ nhớ 8GP xài với máy này chắc ok rồi hả bạn
18||#22000	ủa bạn nếu mình mua góp thì lãi suất 0% đưa trc bao nhiêu còn cái code có áp dụng vào mua góp đc k
18||#22001	Cho mình hỏi giảm 700k còn 2.990.000₫ vậy có được giảm 3% nữa không ạ
18||#22003	ủa QTV Mobiistar Prime X1 và Mobiistar Prime X 2017 giống nhau hả
18||#22004	Giam 700 va them 3% vay con lai bao nhieu.giam roi co duoc tra gop o%
18||#22005	code khi nào hết hạn vậy qua Tết là hết chưa vậy là máy này còn 2.990.000đ thôi đúng k k cần điện thoại cũ chỉ cần code là đc
18||#22006	Đổi Smartphone mới – Tết về phơi phới Lì xì 700.000đ chỉ còn 2.990.000đ thời gian áp dụng (08/01 – 28/02) nghĩa là còn 2.990.000đ 1 con mobiistar-prime-x1 hả
18||#22007	Băng tần 4G : LTE B3 khác gì so với LTE CAT1, CAT2...hả Ad?
18||#22010	e co ma giam gia. ma khong co dt cu. vay co duoc tham gia mua dt cu khong? tra gop duoc khong?
18||#22017	Đổi máy có được áp dụng trả góp 0% ko ạ ?
18||#22029	Doi đt phải còn su dung duoc hay sao
18||#22032	Cam bien van tay cua mobiistar prime x1 co phai loai 1 cham khong a
18||#22041	Mình nhận đặt giữ máy tại fpt kon tum. Nhân viên gọi điện cho mình bảo ở kon tum hết hàng ở kon tum vậy mình không thể mua máy được nữa à.
18||#22052	Máy này ra mắt hồi nào vậy ạ
18||#22064	Máy prime x dùng bt đổi có giảm thêm giá ko ad. Đổi ùi có trả góp ko vậy
18||#22065	Điện thoại bàn phím thường có thể tham gia vào chương trình đổi smartphone mới được ko
18||#22068	chuong trình :ĐỔI SMARTPHONE MỚI, TẾT VỀ PHƠI PHỚI” áp dung cho tat cả các fptshop hay phải tới http://bit.ly/DoimayTet2017_Danhsachcuahang mới sử dụng dc mã đổi máy
18||#22069	e cũng đã có 1 mã đổi luôn rồi,mà k có
18||#22076	Cho hỏi mình dt lên tổng đài thì tổng đài viên bảo chưa có chương trình này???
18||#22077	QTV kiểm tra giúp e đơn hàng 13721402 đã chuyển về Cà Mau chưa? E đã đặt cọc ngày 13
18||#22078	cho hoi mjnh o tien giang go cong tay co duoc tham gia doi may cu lay may moi khong va doi may o dau
18||#22081	mấy ngày tết fpt có lm việc k z. e mun mua đt vào ngày têt
18||#22085	Nge shop trả lời thì cảm thấy yên tâm hơn chứ cũng mua onle một lần mà hàng quáu kém không nhưquảng cáo nên sợ. Mà cho kiên hỏi ở 180 Thái Hoà còn prime x1 với jubo 2017 không.2 lọai máy có những màu nào
18||#22086	Mua onle thì có đảm bảo chất lượng không nhỉ.mình đã đăng ký đổi máy mà cưa hàng hơi xa nhà.muốn mua onle mà không yên tâm
18||#22089	Mình đặt cọc máy 500k giờ k mua nữa có lấy đc tiền đặt cọc k?
18||#22091	Hm tr thấy xem video có phụ kiện ốp vs dán màn hình kèm theo máy mà hnay m mua k có vậy. Muốn có phải mua thêm.
18||#22097	mình đặt hàng tối hôm qua và có nhân viên gọi lại nhưng mình chưa kịp hỏi về giá khuyến mãi .giao hang ... vì lỗi song điện thoại. sdt 0986351554.
18||#22099	mình muốn mua con x1 và sac yoobao 10000mah thì phải trả bao nhiêu.vì thấy cả 2 đều có khuyến mãi nên có được cộng dồn là 3050000 vnd ko?
18||#22103	Sử dụng phiếu mua hàng , để giảm giá máy còn 3390k dược không quản trị viên
18||#22104	lm cái video so sáh hiệu năng vs quản lí ram cua mobiistar di ạ. e mun xem thu
18||#22118	Có cần đem theo điện thoại cũ ra không hay chỉ cần mang theo mã số đăng ký đổi là được vậy add?
18||#22120	Shop cho mình hỏi, 1 tài khoản đươc đăng kí 3 mã, liệu 3 mã đó có được dùng chung để mua 1 sản phẩm Prime X1 không vậy?
18||#22122	Nếu nhận 300k phiếu muaa hàng phụ kiên thì ko duoc khuyến mãi giảm 700k hả
18||#22123	Ad cho hỏi lì xì phụ kiện 200k là tiền mặt phải ko
18||#22131	Vậy 1 nick Facebook có thể 3 lần đổi smartphone mới của Mobiistar hả qtv
18||#22135	Cho mình hỏi Lì xì phụ kiện 200.000đ là tiền mặt hay là phiếu mua hàng?
18||#22140	Chương trình đổi đt mới có ap dụng đồng thời km nào khác ko
18||#22154	Mua máy đc tặng phiếu mua hàng 300k phải k ạ? Mua sạc dự phòng đc k ạ?
18||#22155	Mình đặt hàng màu hồng mà chưa nhận phiếu đặt cọc ghi có thời hạn 30 ngày. Ngày mai là đúng 30 ngày rồi. Vậy tự nó sẽ hủy phải không?
18||#22173	e đã đem đt ra shop kiểm tra nói không bị gì mà tại ứng dụng chạy nền rồi về e xoá hết ứng dụng em đã tải nhưg vẫn hao pin...12h khuya đến 8h sáng là 18% dù đã tắt hết wifi để màn hình mức tối nhất và thơig gian khoá màn hình là 15 giây nhưng vẫn hao pin mà đem ra shop kiểm tra nói không bị gì mà điện thoại khác nào giờ e xài không cái nào bị tình trạng này hết ạ...em vào pin thì thấy cột chế độ chờ radio gì đó nó hao pin nhất mà e k hiểu đó là gì
18||#22174	e đã đem đt ra shop kiểm tra nói không bị gì mà tại ứng dụng chạy nền rồi về e xoá hết ứng dụng em đã tải nhưg vẫn hao pin...12h khuya đến 8h sáng là 18% dù đã tắt hết wifi để màn hình mức tối nhất và thơig gian khoá màn hình là 15 giây nhưng vẫn hao pin mà đem ra shop kiểm tra nói không bị gì mà điện thoại khác nào giờ e xài không cái nào bị tình trạng này hết ạ
18||#22175	m e bị hong gui tt bao hanh ngta bao la ko sua dc .da gui ve shop q lí o day bao la se gui xe bú ve tan nha cho e vi nha e cach shop kha xa. nhg hen 1 tuan rọ ma ko thay may dau. v la sao ah.
18||#22176	Cho mình hỏi HD Saigon và Home credit là một phải uống zay
18||#22182	Khi nghe nhạc màn hình bị rung lên là sao vậy, mấy dòng điện thoại khác mình xài ko bị
18||#22190	Lê Thanh Toàn (QUẢN TRỊ VIÊN) thì nói "Dạ theo thông tin mình kiểm tra được thì máy Mobiistar Prime X1 có hỗ trợ sạc nhanh bạn nhé." Còn Võ Như Quỳnh (QUẢN TRỊ VIÊN) lại nói "Mobiistar x1 rất tiếc không hỗ trợ sạc nhanh bạn nhé." Cần một lời giải thích?
18||#22192	Tối qua 28/12 mình cũng đã nhận được 1 em prime x1 màu đen, tất cả đều ok chỉ có nghe nhac loa ngoài của em này hơi thiếu bass. Ai đang dùng em này cho mình ý kiến do máy mình lỗi hay do âm thanh của em nó bass yếu?
18||#22200	màu đen có rồi, mà sao không nghe tổng đài gọi ra lấy hàng ta? 28/12 rồi
18||#22201	Bộ sản phẩm bao gồm những gì QTV?
18||#22206	Mình bị trể hẹn tới ngày 28/12 mới có, mà hồi bữa tổng đài fpt có điện thoại báo giảm 5%, mong ad xác nhận lại để mai ra lấy dễ nói chuyện với nhân viên ạ.
18||#22209	mai 28/12 mà không có hàng nữa thì mình ra của hàng rút cọc, đợi lâu quá rồi. Hẹn tới 28/12 có hàng, mà giờ thì chưa có thông tin.
18||#22225	Máu đen chính xác là fptshop đang chuyển hàng về, hay bên mobiistar chưa cung cấp vậy? Hoang mang quá.
18||#22227	15 ngày rồi còn 5 ngày nữa có màu đen
18||#22229	Ad oi may cua mk bi hong. Nv bao hanh nhan la ko the sua dc. Co cach nao de mk ko bi thiet thoi ko trong khi may vua su dung dc co 5 tieng ke tu khi mua. Mong tv giup mk.
18||#22231	Ad oi thog tin là điện thoại cố hồ trợ đèn led trợ sáng ô phía trước và sd ntn ak? Giúp em với
18||#22241	Shop noi tra gop 0% ma hoi sag nay e mua lai suat tinh 1% chu ko fai 0% nhu tren mag noi. May primex1 gia 3690 mua gop 4 thag moi thag gop 1008k
18||#22245	Add cho mình hỏi, máy này mang ra nước ngoài có dùng được không vậy add ơi
18||#22250	tôi đã đặt cọc tiền mua máy.giờ không muốn mua lấy lại như nào
18||#22263	Cho minh hoi khi nao san phẩm nay ve khu vực trang bom Dong nai vay qtv. Minh dat hang lau lam roi noi la 15 co hang ma nay toi 18 roi ma van chua co thay gi hết la sao vay
18||#22273	Sau lâu quá mà không thấy gọi lại cho mình vậy?
18||#22290	Khi đặt mua trước sản phẩm thì khi có hàng, nhân viên có đưa đến đúng thời gian yêu cầu ko
18||#22292	Mình đã đặt hàng trước 500k theo chương trình “Đặt liền tay – Nhận ngay quà 1.2 triệu” rồi thì có còn được tham gia chương trình: - Cơ hội trúng 17 Xe máy Honda Vision, 70 Tivi Sony 32", 870 Lò vi sóng - Phiếu mua hàng 200,000đ nữa không nhỉ?
18||#22294	Sao mk gửi bình luận mãi mà ko đc v
18||#22304	Hàng được chuyển từ đâu về các nơi z
18||#22310	Màu đen đến 28 ms có thì chuyển màu khác như nào
18||#22320	Kiểm tra gì v ad. Máy mới 100% là sao
18||#22321	Hàng ở fpt có còn nguyên seal ko v.
18||#22329	Tôi đã cọc trước và fpt báo 15/12 trả hàng. Nhân viên gọi lại và báo hôm nay sẽ có. Có thể kiểm tra cho tôi tại khu vực HCM cửa hàng nào đã trưng bày ko? Tôi cần mua màu đen.
18||#22332	Bạn ơi. Nếu đặt hàng trc mà muốn hủy thì phải làm thế nào ạ
18||#22336	Prime x1 khi nào có máy đây. Mới ra fptshop bên Lê Quang Định cửa hàng hôm 11 mình có đặt cọc 500, sms nhắn từ ngày 15/12 ra nhận máy mà mới ra thì không có máy. Hỏi nhân viên cũng không ai biết rõ về chương trình này như thế nào? Gồm những khuyến mãi gì? Chờ lâu, Phải đi tra thông tin mới biết mà hỗ trợ khách. Làm việc không bằng thế giới di dộng, ức chế vãi. Nhân viên không được có nghiệp vụ hay sao ấy
18||#22346	Vậy có dán keo mien phi hả FBT
18||#22351	tới tết còn dòng màu đen nhám ko têt mua à
18||#22354	Nếu đã đặt cọc rồi thì chậm nhất là bao giờ có hàng vậy ad. Mình muốn biết thời gian chậm nhất tại mình ở vùng xa.
18||#22358	Nhung minh da dat coc roi ma dao gio lai noi hết Jan la sao vay qtv nếu nhu minh di qua cua hang khác thi lam sao co dc nhan may hay k vay. Vay qtv xem o khu vực bien hoa nga tu tan phong da co hang chua vay nếu co minh se xuống dương lay may dc k. Nhung minh dat coc o cho khác thi co nhan dc may k
18||#22362	bây giờ em định mua nhưng 9h tối rồi sao cọc được ạ
18||#22369	CHO minh hoi dat cọc 1trieu hay 500k ak?
18||#22373	Nếu như mua trả góp v cũng đặt cọc 500k hả shop
18||#22375	Vừa trả góp vừa nhận quà ak ad
18||#22376	Cho em hỏi em đặt mobistart prime x1 em đã đặt hàng rồi bây giờ em có cần đặt cọc trước 500k hay đến 15/12 spam ra thì em lên đó mua luôn ạ
18||#22380	Ad oi gói friends la gi ạ
18||#22382	Mình đã đặt cọc 500k trước rồi lúc có hàng mình muốn thêm vào để trả tháng đầu tiên được không vậy?
18||#22383	Mình đặc cọc 500 nghìn để hưởng KM khi có hàng mình lại lấy nếu như mua với Friends thì mình có được hỗ trợ trả lại tiền đã đặc cọc không vậy ad
18||#22384	Đặt hàng rồi thì bao lâu có hàng z
18||#22387	Camera so vs gr5mini thì sao qtv... Vs lại có mống mắt hồg ngoại điều khiển từ xa hk v ạ
18||#22388	Đặt hàng trc 15/12 thì có nhg hình thức nhận hàng nào? Có giao tận nhà ko z
18||#22393	Sau 14/12 đặt oline có quà ko ad
18||#22401	mình đặt cọc mua trả thẳng rồi, giờ muốn đổi trả góp thì có được hưởng khuyến mại không?
18||#22402	ad ơi em đặt cọc 500k mà 26 tây em mới lấy được không ạ? với lại cho em hỏi nếu em đặt cọc 500k rồi mà em không muốn nhận máy vậy em có thể lấy lại tiền cọc vào ngày 26 không ? Tại 26 tây em mới có tgian rãnh để đi xem máy
18||#22405	ad cho hỏi nếu đặt hàng oy....với mấy cái phần quà á...mình k có nhu cầu dùng đến thì đổi lấy sản phẩm khác tương đương đk k ad
18||#22407	Đặt cọc 500k, khi máy về, ra shop xem, ko vừa ý, ko mua, có lấy tiền cọc được ko bạn? Xin cảm ơn
18||#22409	Cho em hoi đủ 500 người chưa ạ
18||#22411	Cho mình hỏi quà tặng trị giá 1,2 triệu là tính 3 món quà + trả góp hay là chỉ tính 3 món quà thôi ạ?
18||#22415	Nếu ko ưng mình có được nhận lại cọc không?
18||#22417	Mua duoc dung qua 1thang dung ko a
18||#22418	nhu mjg dac coc tuoc roi ma ko wua y co lay lai tien cọc duoc ko
18||#22424	Nếu mua may sau tết đc ko may đc tặng 5 món quà ko
18||#22426	Em muốn đặt trước Thủ tục thế nào Có phải trả trước chi phí gì k VD: 20 có hàng mà 30 lấy có được k
18||#22429	Mai trung kiên, 0913622246. Khi nào cho đặt hàng shop alo mình nhé
18||#22431	Khi nào có hàng vậy 15/12 có hàng a nếu mình đặt hàng cuối tết may đc tặng 5 món quà giá tâm 1 triệu
18||#22433	Ở shop có bán mirco Bluetooth ko vậy
18||#22437	cho hỏi, đt vivo y53 có dùng được ốp của vivo y55 k vậy
18||#22461	opop neo9 Co hộ trợ 4G ko vậy.. Nếu trả góp thì trả thế nào.. Thủ tục trả hàng tháng ra răng
18||#22475	Loi vivo đó mình sử dụng như thế nào vậy ạ
18||#22483	Cho minh hoi tại Sao diễn thoai oppo a37mau đen dắt hơn
18||#22491	Online Friday máy này còn bao nhiêu Ad
18||#22496	Bộ mua điên thoai oppo a37 đen quay la trung oppo f3 hoặc trung xe hả ad ma 100% la trung 1 trong 2 phai ko ạ
18||#22497	quay có công khai không vậy
18||#22498	vòng quay có công khai không
18||#22501	Cái này trả liền tay có tính chi phí lãi xuất không hay là trả đúng số tiền 3.490 ạ
18||#22505	máy zing 100ak ad
18||#22515	Mình mua a37 có tặng phiếu mua hàng the nhớ loa năm hay là mua sản phẩm khác có giảm giá k bạn
18||#22525	Điện thoại này là A37fw hay là A37 neo 9 ạ
18||#22530	Mình mua trả góp thì mình trả từng địa điểm khác nhau thuộc hệ thống fpt dc ko ạ
18||#22531	Sao A37 đen lại đắt hơn A37 vàng hồng và A37 vàng đồng
18||#22537	minh muon thay toan bo vo ben ngoi tu mau hong sang mau den moi thi gia bao nhieu ha shop
18||#22541	Cho toi hoi de may qua mot dem hao co 5%pin nhung luc dung thi hao rat nhanh la sao a
18||#22546	Xin hoi dien thoaiA37 co tinh nang trượt không lat man hình không a
18||#22549	sản phẩm nào là oppo A37fw trong shop vậy admin
18||#22550	cái trên này là 37fw hay 37 vậy ad?
18||#22557	sao màu đen đắt hơn màu đồng vậy ad
18||#22558	không có hình ảnh nhiều hơn về điện thoại này ạ?
18||#22562	Ko thấy ảnh
18||#22595	cho mình hỏi mình thấy có máy phía sau lưng có chữ 4g có máy thì ko là khác gì ko?
18||#22596	mua may vao thoi diem khuyen mai nai co duoc tra gop ko a.
18||#22597	Minh muốn hỏi ss j3 nay có trả góp 0% mà vẫn có trả trước 0 đ Ở fpt nghệ an không a
18||#22598	Sam sung j3 lte 2016 mang hinh may cham vay, cau hinh manh kg, o duong go dau, tan phu co shop nao kg?
18||#22600	- cho e hỏi máy mới mua ngày 1/10 đến ngày bao nhiêu thì hết 30 ngày ạ?
18||#22601	- s máy này tháo pin ra 5' rồi lắp lại thì bị hao mất 5% ạ,
18||#22602	- tháo pin ra rồi tầm 5' sau lắp lại có bị hao pin ko ạ?
18||#22603	- tháo pin ra rồi lắp lại có bị hao pin ko ạ?
18||#22609	Sạc pin máy này được 1h30 từ 15% lên 70% thì vào pin bình thường hay ko ạ?
18||#22612	máy mới 100% còn seal k add?
18||#22629	- thế đấy có phải do lỗi nsx ko ạ?
18||#22635	- thế mk mag sản phẩm ra fpt rồi bảo người ta có được ko ạ?
18||#22640	Minh o tay ninh. Minh dag sai samsung j3 . Minh muon mua 1cai nua . Co the bot gia nua ko. Hay tag khuyen mai j ko
18||#22660	hàng được mua qua mạng, nếu nó bị hỏng thì làm sao đổi lại được
18||#22661	Samsung j3 moi
18||#22663	điện thoại cũ hay mới vậy
18||#22666	neu mua may nay ben ban co thu lai i4s k vay
18||#22679	Cho e hỏi là bên mình có hỗ trợ root máy k ạ
18||#22680	Em mới mua Samsung j3 ở fpt, trong 3 lần sạc đầu phải sạc 8 tiếng hoặc qua đêm. Nhưng trong thời gian sạc, chân sạc bị lỏng k vào điện nên em lại cắm sạc lại. Như thế có ảnh hưởng gì tới điện thoại k ạ ?
18||#22681	cảm ơn bạn khi nào có a3 2017 thì t mới đi mua kết em nó là vì tính năng chống nước
18||#22695	ngày mai là khuyến mãi hã qbt , mà có thể nâng cấp lên hdh 6. ko ạ
18||#22701	Máy khi mua.mới kích hoạt bảo hành điện tử phải không shop
18||#22705	sao k ai tl bl z
18||#22726	Có phải samsung j3 LTE này là phiên bản cho thị trường TQ nên không sử dụng được 4G ở VN phải không ad?
18||#22734	Shop ơi mình muốn đổi máy Nokia lumia 640 lấy Samsung Galaxy j3 thì bù bao nhiêu ạ? MìNH mua máy cũng 6,7 tháng rồi. Vẫn còn bả
18||#22737	Cho mình hỏi loại J3 (2017) bên mình còn hàng không bạn. Loại J3 (2016) chất liệu vỏ là nhựa hay gì vậy, giá bán như này có khuyến mại gì không?
18||#22746	Samsung galaxy j3 co xa hang k vay
18||#22749	mình mua tại FPT SHOP. mình mua máy mới.
18||#22761	Cho minh hoi cuoi thang co con may ko
18||#22780	Màu trắng và màu vàng màu nào trầy mà dễ thấy vết trầy nhất ạ?
18||#22785	E được 1 phiếu mua hàng phụ kiện sam sunng 200k thì có mua được tai nghe của samsung ko ad
18||#22788	Em mua ở fpt ạ
18||#22791	Dạ cho hỏi samsung j3 lte có thay màn hình k z qtv
18||#22799	cho em hoi cho minh con samsung note 3 ko
18||#22804	nếu 5 thắng nữa Điện thoại Samsung Galaxy J3 LTE còn kinh doanh không ??
18||#22807	Cho minh shop co chuong trinh la tăng phieu mua hang 150 sao minh mua k co vay. Minh mua o tuy hoa phu yen
18||#22808	cho mình hỏi trug vang là quay số hả
18||#22813	còn chương trình dán combo mặt trước sau máy và mua thẻ nhớ hỗ trợ gậy selfile mini k ad ơi
18||#22821	Hiện tại với công nghệ pin mới cũng như khả năng tự ngắt khi sạc đầy nên bạn không cần thiết sạc 3 lần 8 tiếng nha bạn, sạc đầy 100% là có thể rút cáp sử dụng bình thường nha. Nó có hợp lí không ạ
18||#22826	Cua hang khi nao ban lai vao dip tet
18||#22827	Minh mua may nay o shop ko may lam roi hong man hình thi shop co ho tro dua chua ko a
18||#22834	adm oi sao j3 e moi mua ve sim 1 boi vao k co song nhu sim hu vay adm
18||#22835	Cho hỏi fpt có bán mùng 1 âm tết k nhì mình còn biết để ra
18||#22842	Minh da o huyện Tiên Lãng- HAI PHONG
18||#22851	galaxy J3 LTE cũ có còn chất lượng tốt k ạ
18||#22852	Cua hang naogan linh dam nhat
18||#22855	Nếu như em đặt mua hôm nay nhưng chủ nhật mới đến cửa hàng lấy lấy như vậy có được tính ưu đãi không vậy
18||#22858	Em vừa mua 1 con zenfone live, dùng chưa được 1 tháng, nhưng hiện tại nút nguồn em thấy có vấn đề ( bấm lúc lên lúc không lên ), giờ em phải làm sao ạ,
18||#22859	Tính năng beauty live có kích hoạt được khi gọi video qua messages fb ko ạ.
18||#22862	tai nghe đc của samsung ko ạ
18||#22865	Zenphone live này được hưởng mua online đến khi nào shop
18||#22866	ad ơi cho e hỏi nếu em mua ol thì có đc hưởng các chính sách như mua tt k ạ
18||#22868	Ad ơi! Sao e mới mua mà trong hộp chỉ có mỗi sạc với cây lấy sim mà ko có sách hướng dẫn gì hết vậy ạ?
18||#22888	Xin hoi don hang 4450356 Da giao chua
18||#22896	Màn hình Xiaomi Redmi Note 5A có phải dạng cong 2.5D không ạ? PMH 100,000đ có được trừ vào giá không?
18||#22908	Sao mua nhập ma khuyến mại mà cu bao o đúng 120OLHMXR9733
18||#22914	Lúc mua máy tại fpt mình có đăng ký sđt bảo hành là 01645777561 nhưng giờ không sài nữa và mình muốn thay bằng số mới để tiện bảo hành thì có được không ạ??
18||#22921	Redmi note 5a này mình thấy đâu có cảm biến vân tay đâu mà ad báo có vậy? Chỉ có redmi note 5a prime mới có cảm biến vân tay thôi mà
18||#22936	Sao khác với bài viết vậy ?
18||#22946	Em sinh viên 18t. Mua máy mới dc k ạ
18||#22949	Muon mua hang qua dien thoai can nhung gi
18||#22950	Mình sài 2 con rồi m2 rồi thấy ok nên mua mx6 sài nói chung hãng này sài tốt giá phải chăng mình đang sài mx 6 lên androi 7.1 rồi đang chờ pro 7 hóng quá trời hóng
18||#22951	Các dòng máy meizu dược cặp nhật hdh Android 7.0
18||#22957	Cho em hỏi cấu hình máy này chơi liên quân trung bình được không ạ. Fpt làm video reiview về sản phẩm này đi
18||#22961	Cho e hỏi máy màu vàng mặt trước màu gì vậy ạ
18||#22963	sao đặt mua online mà vẫn để 2.790.000đ vậy ad
18||#22969	Hair may meizu u20,m5c may nag chat damn nhiem tot?
18||#22971	Chip mtk6750vamtk6737.chip naotot?
18||#22978	Sao hk thấy cấu hình j hết vậy làm sao biết mà mua
18||#22991	Tại sao máy em bị tuột pin khiến?
18||#22994	Qtv cho mình hỏi là máy mình k thể đăng xuất dk email đã đăng nhập ra khỏi máy dk là sao ạ
18||#22995	qtv cho e hỏi là shop có hỗ trợ chạy lại phần mềm luôn tại shop k hay là phải gửi đến trung tâm bảo hành ạ. máy e mua tại shop và còn bảo hành ạ
18||#22997	qtv cho e hỏi là chút là e có test thời gian sạc pin của máy meizu m3s từ 0% đến 100% bằng sạc của máy có đầu ra 5v-2a thì sạc đầy trong vòng từ 2h đến 2h30 thì như vậy là máy vẫn sạc bt đúng k ạ
18||#22999	Cho mình hỏi flyme os của meizu m3s mới khui hợp là bao nhiêu vậy, mình nâng cấp lên 6.1.0.0G và thấy máy hay bị ám sọc đỏ rất khó coi nên giờ muốn về lại phiên bản cũ của máy. Không biết là do gì nhưng giờ mình muốn về thử lại như cũ xem sao, à sẵn tiện cho mình hỏi là nguyên nhân gì mà màn hình bị ám sọc đỏ vậy shop, có lúc bị sọc đỏ chiếm hơn 60% màn hình luôn đó
18||#23000	2-3 triệu mua con nào chơi liên quân ổn trừ iphone ra ạ, mà có hàng tại Bắc quang - Hà giang Ạ? Phân vân quá
18||#23005	Ủa mới giảm giá à
18||#23006	E hỏi giữa xiaomi redmi 4 với meizu m3s thì con nào xài ok hơn..và ở yên fog bắc ninh còn hàg k
18||#23007	Con này thay pin được không? Vì máy bị phù pin.
18||#23011	m3s bây giờ muốn từ flyme 6.1 về 5.1 bên fpt có hỗ trợ không ạ
18||#23013	gio mih mua tra truoc ođ ,gio nay con mua dx ko a chi
18||#23014	may nay ko tra tien truoc dx ko may a chi
18||#23018	cho e hỏi e có dán màn hình bên shop lúc mới mua máy thì các tháng sau có đc dán miễn phí ko ạ
18||#23037	465 quốc lộ13 phường hiệp bình phước quận thủ đức hàng m3s màu sám về chưa ạ e có gọi cho shop ma s nói k nghe măc dù vẫn dữ mic
18||#23040	Hôm nay là Black Friday. Sao FPT không khuyến mãi gì hết vậy?
18||#23050	M3s co hang o cu chi kotratrrssnbs
18||#23052	465 quốc lộ13 phường hiệp bình phước quận thủ đức e đặt onle giao tận nhà cho e nha ad màu sám có km j k ad
18||#23053	Có ship về bưu điện tam quan bình định k ad
18||#23054	Chổ e k có shop fpt...cách 120 cây số e muốn mua onle và nhận hàng ntn v ad
18||#23056	Meizu màu sám Bưu điện tam quan bình định sdt 01674356988 e đặt hàg nha ad có km j k
18||#23057	em có đặt mua m3s 2 lần luôn rồi mà sao bên fpt vãn chưa liên hệ là sao vậy ạ? sđt của em 01627536130 mong em đặt làn này shop liên hệ giúp em
18||#23058	shop có nhận thay mặt kính m3s ko ạ mình mua ở fpt còn hạn bảo hành ko may bị bể kính cảm ứng vẫn ngon vậy thì thay giá bao nhiêu ạ
18||#23060	Cho em hỏi tại sao mua online lại đkk giảm giá
18||#23066	Mình đã dat may rồi mà chưa thấy nv gọi điện xac nhận thì làm sao de biet da duyệt don vay.
18||#23067	Giá giảm có đc đc áp dụng khuyến mãi trả góp 0% k vậy nhỉ
18||#23075	Làm s để nhận pmh vậy
18||#23079	sản phẩm màu xám có phiên bản mặt trước màu đen không v với lại em là sinh viên 18t muốn mua góp thì giấy tờ cần thiết là gì v ạ em cám ơn
18||#23088	tại so máy k update flyme6 dc v ad
18||#23092	Tại Sao bàn phím hệ thống ko có tiếng việt vậy
18||#23094	Ad k có bảng mặt trước màu đen à
18||#23096	Gửi bảo hành từ trà vinh lên tt bảo hành. Thì bao lâu có lại máy sử dụng ad??? Bên shop có hỗ trợ mượn máy sử dụng khi bảo hành ko ?
18||#23100	Máy mua 8 tháng, giờ màn hình bị sọc đỏ, chớp đỏ khi sử dụng muốn bảo hành thì có phải trả phí ko???? Và có cho mượn máy xài khi bảo hành ko???
18||#23103	Có kinh danh màu đen hk ad
18||#23104	Giảm giá chứ k fải k.mãi ad ơii
18||#23112	Minh dang o sg muốn thay man hình thi o dau a. Va gia bn a
18||#23114	phần mang ghi 4g và 4g lte cat 4 khác nhau như thế nào
18||#23115	cho em hỏi nút home bị chạm nó cứ trở về thì lam sao ạ
18||#23116	Ad cho em hỏi sao tài khoản Meizu Flyme của e vừa đổi mật khẩu xong phát nó thoát ra yêu cầu đăng nhập nhưng khi đăng nhập nó báo không tìm thấy tài khoản Flyme là sao? Đăng kí lại tài khoản cũng không được?
